eng,dua
Obedience to God leads to his favor and blessing . - Deut .,Sengane ̱ la Loba di malenea do ̱ lisane ̱ lao na minam . - Ndim .
"None of the 10,000 Israelite volunteers could boast about bringing this deliverance .",To ̱ mō ̱ ńa di 10 000 la Bonaisrael nu boli mo ̱ me ̱ ne ̱ na jemea la wonja a titi ná a dipa dia o bwanga ná mo ̱ nde a wan ben bebukedi .
PATIENCE,WE ̱ LISANE ̱
"Likely , you can think of other faithful servants of old who trusted in Jehovah while taking appropriate action .","We pe ̱ ná wo ̱ nge ̱ le ̱ baboledi ba Yehova bape ̱ pe ̱ ba kwaṅ bena to ̱ ná ba tano ̱ ba lakisane ̱ mo ̱ , ba boli nje yangame ̱ n ."
"Still , it will do each Christian good to reflect on why that is a valid conviction .",Ye Kriste ̱ n te ̱ muse ̱ ṅ o dutea o njo ̱ m i mabole ̱ biso ̱ nin mbaki .
"Granted , many of us have made life - transforming changes to become subjects of God 's Kingdom .","Ye mbale ̱ ná , jita lasu di wan mawengisan o malonge ̱ mabu ná ba we ̱ le ̱ babo ̱ me ̱ ne ̱ owas 'a byanedi ba Janea la Loba . ( Rom ."
"Baasha was turned away ; however , Asa and his people experienced wars for the rest of his reign .","Ye mbale ̱ ná Baesa ese ̱ le ̱ ebol 'a boka Rama , nde Asa na bato bao ba ta nde oteten a bila mine ̱ mińa me ̱ se ̱ ma janea lao ."
"It is as John wrote : "" We are under obligation to show hospitality to such ones , so that we may become fellow workers in the truth . "" - 3 John 8 .","Ye nde nje Yohane a tilino ̱ : "" Jangame ̱ n kasa yi ńai a bato ná di boleye mbale ̱ mwemba na babo ̱ . "" - 3 Yohane 8 ."
"Regarding those cities , Jehovah said : "" They will serve as a refuge for you . ""","Yehova a ta a kwala jombwea mi mindi ná : "" Mi be ̱ nde bińo ̱ wuma lo mawutame ̱ no ̱ . """
"He inspired Paul to write : "" I . . . appeal to you to walk worthily of the calling with which you were called , with all humility and mildness , with patience , putting up with one another in love , earnestly endeavoring to maintain the oneness of the spirit in the uniting bond of peace . ""","Yehova a tute ̱ le ̱ Paulo o tila ná : "" Na mome ̱ le ̱ so ̱ bińo ̱ . . . , ná lo dangwe kana yangame ̱ nno ̱ bupane ̱ belabe ̱ lena lo belabe ̱ no ̱ , na sibise ̱ la ńolo le ̱ se ̱ na pī na we ̱ lisane ̱ , lo we ̱ lisane ̱ mō ̱ na nune ̱ o ndolo , lembe ̱ o be ̱ moto mō ̱ ońola jatingane ̱ la musango . "" ( Efe ."
Jesus set the pattern in honoring others by performing the lowliest of tasks .,Yesu a boli bebolo be mabolabe ̱ nde na basadi o lee ̱ le ̱ patan a ne ̱ ni bola bape ̱ pe ̱ edube .
"If you are not sure , take the time to look for them .","Yete ̱ na o titi mbaki , no ̱ ngo ̱ ponda o wasa mo ̱ ."
"If Noah 's mother and siblings were alive when the Flood began , they did not survive it .","Yete ̱ na ńango a Noa na bonańango ba ta longe ̱ ponda Mpupe mu botedino ̱ , ba s 'ongi ."
"The apostle Paul , who was also present at that meeting in Jerusalem in 49 C.E . , confronted Peter in Antioch and exposed his hypocrisy .","Ńamuloloma Paulo , ńena nu ta o dibe ̱ ke ̱ le ̱ o ni ndongame ̱ n o Yerusalem o 49 P.A . , a ta a kwalisane ̱ mo ̱ o Antioka , a sambwe ̱ le ̱ mawo ̱ ndo ̱ n mao ."
I can be a good person without believing in God .,Ne ná na be ̱ mot 'a bwam esibe ̱ dube ̱ Loba .
Pursuing a career is the key to happiness .,Wasa la m 'bwaṅ to ̱ dina o nin wase nde be idubwan a bonam .
""" He did just so . "" - Gen .",""" Nika nde a bolino ̱ . "" - Bbot ."
"( Read Numbers 35 : 24 , 25 . )","( Langa Miso ̱ ngi 35 : 24 , 25 . )"
16 : 7 ; John 6 : 44 .,16 : 7 ; Yohane 6 : 44 .
"21 : 8 ) When we experience the rich rewards that come from doing things Jehovah 's way , our heart naturally grows in love and appreciation for both Jehovah and his laws .",21 : 8 ) Di mabata to ̱ ndo ̱ Yehova na mambenda mao ke ̱ je ̱ n muse ̱ ṅ ma dangwa bupisane ̱ mambenda mao .
"Although we are simply imperfect earthen vessels , the message we preach can bring everlasting life to us and to those who listen to us .","4 : 7 ; 1 Tim . 1 : 12 ) To ̱ ná jeno ̱ nde beye ̱ me ̱ ki ba bewa ba weya be titi ke ̱ nge ̱ nge ̱ , mwe ̱ ndi di malangwano ̱ mwe ná mu wanea biso ̱ longe ̱ la bwindea na me ̱ ne ̱ pe ̱ na ba ba masengane ̱ biso ̱ ."
"Mercifully , however , he was allowed to flee from the avenger of blood to one of the six cities of refuge .",9 : 5 ) Nde ońola nded 'ao Yehova a ta a te ̱ se ̱ ná nu moto a ńe mīla o mundi mō ̱ ma mindi mutoba ma diwutamea ná a sunge longe ̱ lao .
"In the past , Arthur had always been there for me .",Artur a ta mba o mbasan ponda ye ̱ se ̱ ke ̱ e longe ̱ .
Asa was the third king of Judah after the northern ten - tribe kingdom of Israel separated .,Asa nde a ta kiṅ 'a Yuda ni londe ̱ ilalo ombusa jabane ̱ la janea la dom la matumba ma pongo la Israel .
"They feel as did the psalmist , who wrote : "" How I do love your law !","Ba masenga nde ka mulo ̱ ngedi nu tili ná : "" Na to ̱ ndi nde mbend 'ango ̱ ne ̱ e !"
"Such reasoning may be well - intentioned , but will it help their child to achieve genuine success ?","Ban bayedi be nde o pulea bana babu bwam , nde nika nde e me ̱ nde ̱ jongwane ̱ mun 'abu ná a tongwe ̱ le ̱ na mbale ̱ e ?"
"They must recognize that Jehovah God has the ultimate authority to impose what he determines to be just , necessary , and reasonable limits .","Bangame ̱ n o jemba ná Yehova Loba nde a be ̱ n doi la byanedi lasam o domse ̱ njika myoyo mena mi te ̱ m na sim , mi mapule ̱ , na mangame ̱ n ."
"The people of Philippi are obviously very proud of their Roman citizenship , even if it is only a partial or secondary form of citizenship .","Bato ba Filipi ba ta kumba jita ońola nje e mombweye ̱ ebe ̱ yed 'abu ya bana ba Roma , e be ̱ ná we somsom a mun 'a Roma to ̱ ke ̱ m ."
"They can also hope that the wayward child will one day come "" home "" to Jehovah .",Be pe ̱ ná ba pite ̱ ná mun 'abu nu pawe ̱ a me ̱ nde ̱ timba buńa bō ̱ na Yehova .
Many newcomers have observed that our children participate at meetings .,Be ̱ n bena ba mapo ̱ o ndongame ̱ n asu be ̱ n ná bana basu ba mano ̱ ngo ̱ dongo o ndongame ̱ n .
How far such reasoning is from the truth ! These beautiful qualities originate from the most powerful Person in the universe . Jehovah God is the best example of showing mildness and patience .,"Ben bede ̱ mo ̱ ba bwam be mawa nde na Nu nu be ̱ n ngińa ni peti o mo ̱ ń na o wase , nika ná Yehova Loba ńena ńe eyembilan e peti ya pī na we ̱ lisane ̱ ."
"The Scriptures reassure us that "" Jesus Christ is the same yesterday and today , and forever . ""","Betiledi be mabola biso ̱ mbaki ná "" Yesu Kristo e nde mulemlem , kie ̱ le ̱ na we ̱ nge ̱ na o bwindea . """
The Bible also answers such questions as : How should our freedom to make decisions be exercised ?,Bibe ̱ l e mabola pe ̱ malabe ̱ ma myuedi ka : Ne ̱ ni bolane ̱ wonj 'asu ńa no ̱ ngo ̱ bedomsedi e ?
David and Rachel are just two examples of the peaceful fruitage that results when we apply inspired Scriptural principles and rely on God 's spirit to help us .,"David na Rahe ̱ l be nde byembilan beba be malee ̱ ná di bupe ̱ te ̱ bete ̱ sedi ba Bibe ̱ l di baise ̱ pe ̱ Loba ná a bole biso ̱ mudī mao ná mongwane ̱ biso ̱ , di mabe ̱ ne ̱ musango ."
"When we do this , peace flows just like a river , and justice like the waves of the sea . - Isa .","Di boli te ̱ nika , musango masu mu mabe ̱ ka mo ̱ pi ma madiba , te ̱ me ̱ la sim pe ̱ ka bemune ̱ ba munja . - Yes ."
The second article examines several Scriptural reasons that motivate us to carry out the preaching work with endurance .,Di londe ̱ maba di mabola njo ̱ m a Betiledi jita i matute ̱ le ̱ biso ̱ o benga te ̱ dikalo na titimbe ̱ .
"Think of this comparison : Many of us love to eat a dessert once in a while , but we realize that a steady diet of cakes and candies will harm our health .","Dutea te ̱ o yen elangisan : Dongo la ponda , jita lasu di to ̱ ndi da bewolo na beńe ̱ nge ̱ ń ; nde di bi ná beńe ̱ nge ̱ ń ba jita be matakise ̱ ja lasu la bwam ."
We saw the gratitude of those who had been helped by our children to learn about Jehovah .,Je ̱ n masoma ma ba bena bana basu bongwane ̱ no ̱ o bia Yehova .
"Julia Wilcox wrote : "" I simply can 't describe the thrill I get every time Cedar Point 1922 is referred to in our literature .","Julia Wilkox a tili ná : "" Na titi ná na langwa muńe ̱ nge ̱ na mabwano ̱ ponda te ̱ myango ma Sedar Point 1922 mi malangwabe ̱ no ̱ o kalat 'asu ."
"As the Bible promises , "" the peace of God "" was ' guarding my heart and my thoughts . '","Kana kakane ̱ la Bibe ̱ l , "" musango ma Loba "" mu ta mu ' kombe ̱ mulema mam na mo ̱ nge ̱ le ̱ mam . ' ( Fil ."
Do I really trust in Jehovah to care for my needs ? ',Mo ̱ na lakisane ̱ Yehova na mbale ̱ ná a mombwea ńo ̱ ng 'am e ? '
"He stated : "" We knew , however , that getting married was not unscriptural , so we took refuge in prayer and put our trust in Jehovah . ""","Mo ̱ ná : "" Di ta di bia ná , latise ̱ la diba di si mate ̱ nge ̱ ne ̱ Betiledi , muka nde mu timbi biso ̱ diwutamea , di lakisane ̱ pe ̱ Yehova . """
""" After just one year serving in my new assignment , "" she relates , "" Doratine , a young mother with whom I studied the Bible , got baptized at our circuit assembly . ""","Mo ̱ ná : "" Ombusa mba bolea mbu mō ̱ o epol 'am ya peńa , Doratine , eso ̱ mb 'a ńango a muna iwo ̱ na tombise ̱ no ̱ jokwa la Bibe ̱ l e dubisabe ̱ o jako ̱ to ̱ ne ̱ lasu dinde ̱ ne ̱ . """
That Jehovah does not prevent his servants from being tested is illustrated by the account of Joseph .,Myango ma Yose ̱ f mi malee ̱ le ̱ ná Yehova Loba a si meka ná baboledi bao ba kekisabe ̱ .
"Psalm 20 : 4 says of Jehovah : "" May he grant you the desires of your heart and give success to all your plans . ""","Myenge 20 : 5 mi makwala jombwea Yehova ná : "" A bole wa nje mulema mo ̱ ngo ̱ mu mapulano ̱ , a po ̱ le ̱ myano mo ̱ ngo ̱ mye ̱ se ̱ o su ! """
"With the help of God 's spirit , we can fully develop "" the new personality , "" which includes joy .","Na jongwane ̱ la mudī ma Loba , je ná di bo ̱ to ̱ "" mot 'a peńa , "" ńena muńe ̱ nge ̱ mweno ̱ dongo lao diwo ̱ . ( Efe . 4 : 24 ; Gal ."
I think I was embarrassed .,Na me ̱ ne ̱ nde biana na si ta na bia nje kwala .
"Again he spoke to several elders , all of whom gave him Scriptural advice .","Na mo ̱ a kwalisane ̱ pe ̱ te ̱ batudu jita , babo ̱ be ̱ se ̱ ba boli mo ̱ malea ma se ̱ medi o Bibe ̱ l ."
"I act with more understanding than older men , because I observe your orders . ""","Na petan batudu so ̱ ṅtane ̱ , ebanja na ne ̱ nge ̱ mbend 'ango ̱ . """
"Over time , study will be both easier and more pleasurable !","Na ponda , jokwa di me ̱ nde ̱ be ̱ wa lambo di wam na la muńe ̱ nge ̱ !"
The distinction between those serving God and those not serving him is becoming increasingly evident .,Ndando ńe oteten a ba ba maboleye ̱ Loba na ba ba si maboleye ̱ mo ̱ e mabata nde o bondame ̱ .
But the Creator gives all of them a name or a designation .,Nde Muwekedi a mabele ̱ po ̱ te ̱ na dina .
"Ah , but take away all those negative factors - what relief !",Nde a se ̱ lo ̱ ko ̱ mea ke ̱ man me ̱ se ̱ ma sumwabe ̱ !
How should those with an unbelieving mate view their situation ?,Ne ̱ ni ba ba be ̱ n mome to ̱ muto nu si maboleye ̱ Loba bangame ̱ nno ̱ je ̱ ne ̱ bete ̱ medi babu e ?
How did one elderly couple expand their ministry ?,Ne ̱ ni babaedi bō ̱ ba mákokwe ̱ mimbu ba lańse ̱ no ̱ dikalo labu e ?
How can we successfully deal with the challenges it brings ?,Ne ̱ ni jeno ̱ ná di tongwe ̱ le ̱ o lembe ̱ mo ̱ e ?
How will humility protect you if you face such a test ?,Ne ̱ ni sibise ̱ la ńolo di me ̱ nde ̱ no ̱ tata wa ke ̱ ni ńai a kekise ̱ e po ̱ i e ?
Was the apostle worried that Gaius might hesitate because Diotrephes was attempting to throw hospitable Christians out of the congregation ?,Nga ńamuloloma a bo nde bo ̱ ngo ̱ ná Gayo e ná a si bole pe ̱ nika ońolana Diotrefe a ta a keka o busise ̱ o mwemba Kriste ̱ n ye ̱ se ̱ i ta i kasa be ̱ n e ?
Feb .,Ngo ̱ .
"That way , I feel more in tune with Jehovah 's thinking . ""","Nik 'e mongwane ̱ mba o bata so ̱ ṅtane ̱ jo ̱ nge ̱ le ̱ la Yehova . """
"It is such a joy to preach in this responsive territory . ""","Nika ńe muńe ̱ nge ̱ jita o te ̱ dikalo o yen epoloso a wuma bato ba malambe ̱ no ̱ toi . """
How did David react ? - 1 Chron .,Nje David a bolino ̱ e ? - 1 Mya .
What fine qualities will help elders to be effective shepherds of God 's flock ?,Njika bede ̱ mo ba bwam be me ̱ nde ̱ jongwane ̱ batudu o be ̱ batatedi ba bwam ba dibemba la Loba e ?
What further practical help can you give to newcomers ?,Njika jongwane ̱ dipe ̱ pe ̱ weno ̱ ná o wanea bapo ̱ i peńa e ?
What are some gifts that Jehovah gave Adam and Eve ?,Njika mabea mō ̱ Yehova a bolino ̱ Adam na Eva e ?
What steps must we take in order to receive Jehovah 's mercy and forgiveness ?,Njika matanga jangame ̱ nno ̱ po ̱ ngo ̱ o bwam ba kusane ̱ Yehova ndedi na lakise ̱ e ?
"Notably , in his second letter , Peter refers to Paul as "" our beloved brother . ""","O leta lao di londe ̱ maba , Petro a to ̱ pedi ońola Paulo ka "" munasango asu ńa ndolo Paulo . """
"Furthermore , Adam and Eve could no longer have a perfect child ; neither could any of their children have a perfect child .","O mbat 'a nika , Adam na Eva ba si wusa pe ̱ ya muna ńe ke ̱ nge ̱ nge ̱ , to ̱ mun 'abu mō ̱ ya mo ̱ ."
What are some noteworthy instances when Jehovah displayed self - control ?,O njika bete ̱ medi bō ̱ Yehova a lee ̱ le ̱ no ̱ jalea la ńolo e ?
"After a year or so , I began serving as a helper to the Service Committee of the Governing Body of Jehovah 's Witnesses .","Ombusa mbu mō ̱ to ̱ miba , na botedi o bolea ka mongwanedi ń 'Epep 'a ebolo ya Dibe ̱ le ̱ di Madie ̱ le ̱ la Mboṅ a Yehova ."
"At times , this resulted in more money going out than coming in for a period of time .","Oteten a pambo a ponda po ̱ , e po ̱ i ponda iwo ̱ ná mo ̱ ni mu busisabe ̱ jita buka na nje e ta yingea ."
"Thus , Jesus warned his disciples : "" Pay attention to yourselves that your hearts never become weighed down with overeating and heavy drinking and anxieties of life . "" - Luke 21 : 34 .","Ońola nika , Yesu ome ̱ le ̱ bokwedi bao ná : "" Bińo ̱ no ̱ ngo ̱ jangame ̱ ye ̱ ná milema mańu mi si dilisabe ̱ na mudesi na so ̱ ki na mitaka ma longe ̱ . "" - Lukas 21 : 34 ."
Why is Jehovah the rightful Sovereign of the universe ?,Ońola nje e te ̱ nge ̱ nno ̱ ná Yehova a be ̱ mwaned 'a misipo e ?
Why might it have been so difficult for those Israelites to make a wise decision ?,Ońola nje nika e wusano ̱ be ̱ ba Bonaisrael ndutu o no ̱ ngo ̱ bedomsedi be dibie ̱ ?
Why are such reminders needed ?,Ońola nje ninka mome ̱ le ̱ meno ̱ mweńa e ?
Why are you determined to seek spiritual riches ?,Ońola nje o no ̱ ngino ̱ bedomsedi be iwiye ̱ o wasa m 'bwaṅ ma mudī e ?
Why is it important to keep clearly in mind why we preach ?,Ońola nje yeno ̱ mweńa jita ná di si dimbea ońola nje di mate ̱ no ̱ dikalo e ?
"When God 's prophet Samuel did not show up in Gilgal at the appointed time , Saul became impatient .","Ponda muto ̱ ped 'a mudī ńa Loba Samuel indedino ̱ po ̱ o Gilgal , na Saul a botea be ̱ ne ̱ mulema ma wadiwadi ."
"Modesty motivates us to consider others ahead of ourselves , and it encourages us to be cautious , thus avoiding serious mistakes .","Sibise ̱ la ńolo di matute ̱ le ̱ biso ̱ o bola bane ̱ epol 'a boso , di membe ̱ pe ̱ biso ̱ o be ̱ bwangángá , ná di si bola mawuse ̱ mande ̱ ne ̱ ."
"Set Your Heart on Spiritual Treasures , June","Te ̱ se ̱ mulema mo ̱ ngo ̱ o mambo ma m 'bwaṅ ma mudī , Eso ̱"
Giving back to him shows that we love him and appreciate all that he has done in our behalf .,"Timbise ̱ le ̱ la mo ̱ nje di kusanno ̱ mo ̱ di malee ̱ le ̱ ná di to ̱ ndi mo ̱ , na ná di matimbise ̱ le ̱ mo ̱ masoma ońola nje ye ̱ se ̱ a boledino ̱ biso ̱ ."
No person or power can take it away from us .,To ̱ moto a titi ná a suane ̱ biso ̱ mo ̱ ; to ̱ ngińa to ̱ po ̱ bola nika .
Pursuing selfish goals does not bring people the happiness that they expect .,To ̱ ndo ̱ la moto mo ̱ me ̱ ne ̱ di si mawanea bato bonam ba mapulano ̱ .
"Christians today need not think that the work of translating the Septuagint , Wycliffe 's Bible , the King James Version , or any other translation was inspired by God .","To ̱ ná Bibe ̱ l e wuno ̱ nde na Loba , nika e si mapula kwala ná batukwe ̱ Septante , Bibe ̱ l a Wiklif , King James Version , to ̱ so ̱ bene ̱ betukwedi bepe ̱ pe ̱ ba ta nde ba tutabe ̱ le ̱ na mudī ma Loba ."
In that way he developed a heartfelt appreciation for the privilege of having God 's name called on him .,Tongwea na nika nde mulema mao mu timbino ̱ be ̱ mutam ońola eto ̱ ti a belabe ̱ dina la Loba .
You also increase your joy by being active in works that please Jehovah .,We pe ̱ ná o kolise ̱ muńe ̱ nge ̱ mo ̱ ngo ̱ tongwea na no ̱ ngo ̱ la dongo o bebolo be mabwese ̱ Yehova muńe ̱ nge ̱ .
"Today , both Matthew 's and Luke 's genealogical records remain a part of the foundation of our faith and a testimony to the sureness of the promises of God .","We ̱ nge ̱ , yi ndando a mbia ibane ̱ i bolabe ̱ na Mateo na Lukas ye nde dongo diwo ̱ la eyot 'a dube ̱ lasu , na mbak 'a belondisedi ba makaki ma Loba ."
"JEHOVAH GOD urges Christians to cherish peace , to make peace a key aspect of life .","YEHOVA LOBA a mome ̱ le ̱ Kriste ̱ n ná i to ̱ nde musango , mu be ̱ babo ̱ lambo la tiki o longe ̱ ."
That condemned criminal is as good as dead .,Ye nde biana nu mot 'ebwan nu bakwabe ̱ mbako a kwedi a máwo ̱ nde .
"In the matter of training others to take on increased responsibility , there is no better example than that of Jesus .",Yesu nde e eyembilan a bwam ya longa la bape ̱ pe ̱ o bambe ̱ m 'bē ̱ .
""" These things . . . were written for a warning to us upon whom the ends of the systems of things have come . "" - 1 COR .",""" Man . . . ma tilabe ̱ nde o be ̱ biso ̱ jome ̱ le ̱ , biso ̱ bena su la ponda di po ̱ yedino ̱ . "" - 1 KOR ."
"However , this does not mean that we have no information about the timing of the resurrection .","( Bebolo 1 : 6 , 7 ; Yohane 16 : 12 ) Nde , nika e si mapula kwala ná di si be ̱ n so ̱ ṅtane ̱ to ̱ diwo ̱ jombwea ponda bepumbwedi ."
Some have at times canceled a previous invitation in order to accept a seemingly better one .,( Mat . 5 : 37 ) Ponda iwo ̱ bato bō ̱ ba kwese ̱ dikaki la bebeledi baboso ońolana ba kusi bepe ̱ pe ̱ be mweńa buka be .
( a ) How does Zechariah 's eighth vision begin ?,( a ) Ne ̱ ni je ̱ ne ̱ di londe ̱ lo ̱ mbi la Sakaria di maboteano ̱ e ?
( a ) Why do we keep sharing in the preaching work ?,( a ) Ońola nje di mabengano ̱ no ̱ ngo ̱ dongo o ebol 'a dikalo e ?
( b ) What will we consider in this article ?,( b ) Nje di me ̱ nde ̱ no ̱ kwalea o din jokwa e ?
"Moses turned his back on the treasures of Egypt , "" choosing to be mistreated with the people of God rather than to have the temporary enjoyment of sin . ""","11 : 8 , 13 , 15 , 16 ) Mose umbe ̱ m 'bwaṅ ma Egipto mbusa , "" a po ̱ so ̱ takisabe ̱ mwemba na tumba la Loba buka o bwane ̱ bobe muńe ̱ nge ̱ ma son a ponda . """
Or recall Pharaoh 's daughter who saved baby Moses ' life .,3 : 23 - 27 ) To ̱ so ̱ o ̱ nge ̱ le ̱ te ̱ muna muto ńa Farao nu sungi longe ̱ la Mose ke ̱ e mwe ̱ nge ̱ ma muna .
Joseph gave that advice to his brothers who were returning to their father .,45 : 24 ) Yose ̱ f a boli bonasango ao man malea ma dibie ̱ ke ̱ ba nitimba na sango abu .
"Later , he instructed those with a more sensitive conscience not to judge those who chose to eat such meat .","8 : 9 ) Ombusa ponda , a langwedi ba bena ba be ̱ n doi la mulema di bo ̱ bi ná ba si kaise ̱ ba ba po ̱ si o da i ńai a ńama ."
"9 , 10 . ( a ) Who may need long - term hospitality ?","9 , 10 . ( a ) Nja beno ̱ ná ba jese ̱ pond 'a bwaba e ?"
"He was willing to make a decision , but what do you think of the decision he made ?","A ta a pula no ̱ ngo ̱ bedomsedi , nde o mo ̱ nge ̱ le ̱ ná nje jombwea bedomsedi a no ̱ ngino ̱ e ?"
"We also read in the Scriptures : "" Husbands should love their wives as their own bodies .",Bibe ̱ l e makwala pe ̱ ná : ' Bome bangame ̱ n to ̱ ndo ̱ bito babu ka mańolo mabu mo ̱ me ̱ ne ̱ .
"Since then , Reylene has been a living example of putting faith in Jehovah 's promise found at Matthew 6 : 33 , 34 .","Botea niponda , Reylene a timbi be ̱ eyembilan a bwam ya mō ̱ nu dube ̱ dikaki la Yehova le o Mateo 6 : 33 , 34 ."
We realized that this came from the same group that published those books !,Di so ̱ ṅtane ̱ ná be belēdi be mawa nde na mulemlem ma dibo ̱ to ̱ la bato di ta di busise ̱ yi kalati !
"Insurance and Retirement Plans : A donation made by specifying an entity used by Jehovah 's Witnesses as the beneficiary of a life insurance policy , individual retirement account , or a retirement / pension plan .","Ekotedi ońola mbeu a ńolo ( assurance ) na ya wumse ̱ l 'ebolo : Yete ̱ na o be ̱ n ekotedi ońola mbeu a ńolo to ̱ ya wumse ̱ l 'ebolo , we ná o tilea bank ango ̱ ná muse ̱ ṅ ma y 'ekotedi mu bolabe ̱ nde bebokedi ba Mboṅ a Yehova ."
"The following morning , soldiers again ordered me to put on an army uniform .",Idib 'a bone ̱ buńa na sonja i bola pe ̱ te ̱ mba doi ná na bo ̱ te mbo ̱ t 'a sonja .
"Many have learned to hide what they do , and in this world they often seem to escape justice and consequences .","Jita boko o wuta nje ba mabolano ̱ , o jita la ngedi pe ̱ ye nde biana ba si makaisabe ̱ to ̱ kusa betune ̱ o nin wase ."
"As considered in this article , we keep sharing in the preaching work to glorify Jehovah and sanctify his name , to show our love for Jehovah and for Jesus , to give ample warning , and to show love for neighbor .","Joko o din jokwa ná di mabenga nde te ̱ dikalo la Janea o busise ̱ edub 'a Yehova na sangise ̱ pe ̱ dina lao , o lee ̱ le ̱ ndolo di be ̱ ne ̱ nno ̱ Yehova na Yesu , o bola dimuti jome ̱ le ̱ , na o lee ̱ le ̱ ná di to ̱ ndi bato ."
"Consider , for example , what the Scriptures tell us about the rightfulness of Jehovah 's sovereignty .","K 'eyembilan , jombweye te ̱ nje Betiledi be makwalano ̱ jombwea ka ni te ̱ nge ̱ n ńa Janea la Yehova ."
Jesus mentioned the sanctification of God 's name as the first request in his model prayer .,Lambo laboso Yesu a to ̱ pedino ̱ o muka mao mwena mwe pe ̱ nde patan a muka le nde sangisabe ̱ la dina la Loba .
Read Isaiah 40 : 28 .,Langa Yesaya 40 : 28 .
"WORLDWIDE last year , thousands of men were appointed as elders and ministerial servants among Jehovah 's Witnesses .",MBU mu tombi lokoli la bonasango lo te ̱ se ̱ be ̱ ka batudu na baboledi o myemba ma wase ńe ̱ se ̱ ma Mboṅ a Yehova .
Did he feel that his efforts were worth it ?,Mo ̱ e ̱ n nde biana miwe ̱ n mao mi ta nde ewolo e ?
Is it possible for an aggressive person to become meek ?,"Mo ̱ moto ńe njo e ná a tukwa , a be ̱ pī e ?"
Brother Franz had a remarkable memory and the amazing ability to concentrate totally on what was being read .,"Munasango Frans a ta a be ̱ ne ̱ bo ̱ ngo ̱ ba betańsedi , a be ̱ pe ̱ ńai ni masoke ̱ mo ̱ me ̱ ne ̱ o mususu mwe ̱ se ̱ o nje e malangabe ̱ ."
Verse 19 describes the choice that God gave to the Israelites .,Mwemba 19 mu mato ̱ pea ońola wonj 'a mpo ̱ so ̱ ko ńena Loba a bolino ̱ Bonaisrael .
"I remember saying to Gloria , "" Does he really have to leave now ? ""","Na dia na mo ̱ nge ̱ le ̱ ná na ta na baise ̱ Gloria ná , "" Mo ̱ e eto ̱ m o dia biso ̱ tatan e ? """
I believe this with all my heart .,Na dube ̱ nika na mulema mam mwe ̱ se ̱ .
His daughter ' wept over her virginity . ',Na mun 'ao ńa muto a ' le ̱ be ̱ be ̱ lao la ngo ̱ ndedi . '
"Still , when I was about 14 , I got baptized in a local creek - dipped three times for the Trinity !","Na po ̱ ino ̱ 14 la mbu , na dubisabe ̱ o mo ̱ pi mō ̱ ma mundi - ba kwese ̱ mba o madiba ngedi ilalo ońola maloba malalo ma lati !"
I never imagined that the wonderful truths about Jehovah God and his purpose would transform my life .,Na si ta no ̱ nge ̱ le ̱ ná mbal 'a tiki jombwea Yehova Loba na mwano mao ba me ̱ nde ̱ tukwa longe ̱ lam .
But the Church was unable to halt the momentum of God 's Word among those who desired to read and understand it .,Nde ebasi e si ta e we ̱ le ̱ bo ̱ le ̱ ńo ̱ ng 'Eyal 'a Loba ni ta o mulema ma bapule ̱ langa na so ̱ ṅtane ̱ mo ̱ .
"But thanks to the special campaign , the example of the local brothers , and many prayers , I was able to do what I couldn 't do before .","Nde eyembilan a bonasango ba To ̱ rki , na mika ma jita bongwane ̱ mba o bola nje na si tano ̱ na we ̱ le ̱ bola . Masoma jita ońola di dikalo la tobotobo ."
"But unlike Adam , Jesus lived up to the standard Jehovah expected from a perfect man .","Nde o diwengisan na Adam , Yesu a bupe ̱ bete ̱ sedi ba Yehova ka nje te ̱ Yehova a mengane ̱ no ̱ moto ńe ke ̱ nge ̱ nge ̱ ."
Jesus ' love perfectly reflected the love his Father shows .,Ndol 'a Yesu e lee ̱ le ̱ o mbad 'a ke ̱ nge ̱ nge ̱ ndolo Sango a lee ̱ le ̱ no ̱ .
How did God 's Word exert power in the first century ?,Ne ̱ ni Eyal 'a Loba e lee ̱ le ̱ no ̱ ná ye ngińa o ebwe 'a mbu yaboso e ?
How will having a spiritual viewpoint help you ( a ) to avoid vain pursuits ?,Ne ̱ ni be ̱ la mot 'a mudī di mongwanno ̱ wa ( a ) o banga bupe ̱ mambo m 'ewolo e ?
How can we determine that we are not being overcome by indifference toward Jehovah 's work ?,Ne ̱ ni jeno ̱ ná di be ̱ mbaki ná di titi o lo ̱ ko ̱ me ̱ o ebol 'a Yehova e ?
How can we introduce scriptures in a way that engenders respect for the Bible ?,Ne ̱ ni lee ̱ bepasi ba Bibe ̱ l ńai ni matute ̱ le ̱ moto o bola Bibe ̱ l edube e ?
How can having a regular share in Jehovah 's work help us remain focused on the big issue ?,Ne ̱ ni no ̱ ngo ̱ la dongo o ebol 'a Yehova ponda na ponda te ̱ di mongwane ̱ no ̱ te ̱ se ̱ miso ̱ o to ̱ ti le mweńa e ?
And how can we be good guests ?,Ne ̱ ni pe ̱ jeno ̱ ná di be ̱ be ̱ n ba bwam e ?
